2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: daDataUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: daDataUpdateUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: hkDataUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: hkDataUpdateUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: qzDataUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: qzDataUpdateUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: syDataUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: syDataUpdateUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wcDataUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wcDataUpdateUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wzsDataUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wzsDataUpdateUsingPOST_2
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: btDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: btDataUpdateUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: daDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: daDataUpdateUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: dataUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: dataUpdateUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: hkDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: hkDataUpdateUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: qzDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: qzDataUpdateUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wcDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wcDataUpdateUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wzsDataUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: wzsDataUpdateUsingPOST_3
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getValueTemplateUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCpachaUsingGET_1
2023-04-12 23:06:43 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: userLoginUsingPOST_1
2023-04-12 23:06:43 |INFO  |main |StartupInfoLogger.java:61 |com.ahzx.hndctservice.HnDctServiceApplication |Started HnDctServiceApplication in 7.668 seconds (JVM running for 9.096)
2023-04-12 23:06:43 |INFO  |main |HnDctServiceApplication.java:18 |com.ahzx.hndctservice.HnDctServiceApplication |项目启动成功
